asin,brand,color,medium_image_url,product_type_name,title,formatted_price
B01MUHTX0I,Lifestyle Batik,400019,https://images-na.ssl-images-amazon.com/images/I/51-eXn23cPL._SL160_.jpg,SHIRT,lifestyle batik grade 1 rayon stamp grass leaves batik plus size tunic poncho caftan top 19 3x  4x 400019 ,$36.99
B017Q7I3L2,MKP Crop Top,"Black, White, Pink, Red",https://images-na.ssl-images-amazon.com/images/I/41fr8zRSJHL._SL160_.jpg,SHIRT,women fashion girl power printed white crop top ,$5.00
B073S7PCGH,a_line,Blue,https://images-na.ssl-images-amazon.com/images/I/61%2BZ7rjNevL._SL160_.jpg,SHIRT,aline white womens printed backkeyhole blouse blue xl ,$21.98
B01JVWUB3S,bylexie,Black,https://images-na.ssl-images-amazon.com/images/I/41BryhjfxOL._SL160_.jpg,SHIRT,sexy shoulder lace ,$21.49
B072188B6B,Zanana Outfitters,"Charcoal, Hgrey, Brown, Taupe",https://images-na.ssl-images-amazon.com/images/I/415dh9YcUGL._SL160_.jpg,SHIRT,4 pack zenana womens basic tank tops small charcoal hgrey brown taupe ,$9.75
B071XD14DR,Koral,Grpt,https://images-na.ssl-images-amazon.com/images/I/41BACdk2RvL._SL160_.jpg,SHIRT,koral womens activewear move crop top xs ,$44.99
B071P7GQFF,ADIVA,Multi,https://images-na.ssl-images-amazon.com/images/I/51w%2BYqsXzEL._SL160_.jpg,SHIRT,adiva womens printed tie neck tank size xl color multi ,$39.99
B01LYB06PQ,Mogul Interior,Medium,https://images-na.ssl-images-amazon.com/images/I/51hSLFLadeL._SL160_.jpg,SHIRT,womans tunic dress orange embroidered stonewash kurti yoga wear ,$17.99
B072KLH3DV,City Chic,Black,https://images-na.ssl-images-amazon.com/images/I/51grolXE9rL._SL160_.jpg,SHIRT,bow back shrug black  size 22  xl ,$49.00
B01N9J4OKB,Dolce & Gabbana,Green,https://images-na.ssl-images-amazon.com/images/I/412LB481ieL._SL160_.jpg,SHIRT,dolcegabbana green long sleeve womens reversible tshirt us 42 ,$89.99
B01N1829KY,Ibaexports,Purple,https://images-na.ssl-images-amazon.com/images/I/41hYbMh27HL._SL160_.jpg,SHIRT,rayon top embroidered women wear short kurta indian tunic boho gypsy clothing ,$23.21
B01GU6WOKQ,Just Cavalli,Multi-color,https://images-na.ssl-images-amazon.com/images/I/51-Ccf4uIeL._SL160_.jpg,SHIRT,cavalli womens 100 silk see tunic blouse top us 40 ,$149.99
